M, A, D, T, LA, HA, LB, HB, LG, MG
69.0, 70.0, 12328.0, 9175.0, 5403.0, 3024.0, 4443.0, 12046.0, 3666.0, 7302.0
67.0, 70.0, 93609.0, 18342.0, 5154.0, 2396.0, 2642.0, 2268.0, 2545.0, 1766.0
64.0, 66.0, 123700.0, 29660.0, 7783.0, 24142.0, 12462.0, 6484.0, 9945.0, 3050.0
70.0, 57.0, 97784.0, 24836.0, 9637.0, 13053.0, 15853.0, 11789.0, 7767.0, 6592.0
63.0, 60.0, 66745.0, 4851.0, 2792.0, 1076.0, 11818.0, 6837.0, 5355.0, 3633.0
56.0, 60.0, 443714.0, 105534.0, 8006.0, 16281.0, 10072.0, 13419.0, 6849.0, 6058.0
43.0, 54.0, 76357.0, 27068.0, 6034.0, 2137.0, 4533.0, 1578.0, 1709.0, 1408.0
35.0, 43.0, 27985.0, 26516.0, 4450.0, 3478.0, 7557.0, 1720.0, 2664.0, 971.0
48.0, 21.0, 164562.0, 149157.0, 52790.0, 52913.0, 25793.0, 8699.0, 6585.0, 3806.0
51.0, 23.0, 137952.0, 64106.0, 10783.0, 10079.0, 21487.0, 10119.0, 4483.0, 12768.0
54.0, 26.0, 34142.0, 94198.0, 31893.0, 16205.0, 29501.0, 12045.0, 15997.0, 3888.0
63.0, 27.0, 429499.0, 230282.0, 65649.0, 58216.0, 31946.0, 16812.0, 10644.0, 5308.0
66.0, 37.0, 142836.0, 39553.0, 25730.0, 26895.0, 28166.0, 11617.0, 8794.0, 2831.0
70.0, 30.0, 75403.0, 74721.0, 18468.0, 12972.0, 10078.0, 5328.0, 9383.0, 3140.0
67.0, 34.0, 1298222.0, 73822.0, 21541.0, 4665.0, 10090.0, 9813.0, 4253.0, 2312.0
67.0, 48.0, 4541.0, 9222.0, 7110.0, 2495.0, 2440.0, 9523.0, 8946.0, 7982.0
48.0, 60.0, 36082.0, 11516.0, 3209.0, 1131.0, 10357.0, 12679.0, 6422.0, 2597.0
37.0, 66.0, 1369.0, 26189.0, 2537.0, 1722.0, 2913.0, 3904.0, 5573.0, 14193.0
34.0, 77.0, 6435.0, 9939.0, 2763.0, 1765.0, 6311.0, 5969.0, 5468.0, 4077.0
24.0, 75.0, 4933.0, 11435.0, 3405.0, 1341.0, 2635.0, 5685.0, 5318.0, 7445.0
34.0, 75.0, 3154.0, 3074.0, 1571.0, 1887.0, 5509.0, 4775.0, 5020.0, 2825.0
56.0, 81.0, 3586.0, 7294.0, 8018.0, 10478.0, 7400.0, 11037.0, 4161.0, 6436.0
69.0, 78.0, 15032.0, 33603.0, 27371.0, 12619.0, 5863.0, 17163.0, 6321.0, 4642.0
67.0, 84.0, 4584.0, 10897.0, 1758.0, 4147.0, 3511.0, 14000.0, 3685.0, 7082.0
74.0, 83.0, 8832.0, 6866.0, 1788.0, 4920.0, 2976.0, 10206.0, 5184.0, 4664.0
69.0, 74.0, 151334.0, 24062.0, 12856.0, 3013.0, 838.0, 3621.0, 1919.0, 2079.0
63.0, 80.0, 80569.0, 12379.0, 819.0, 19345.0, 16579.0, 19816.0, 6787.0, 5494.0
61.0, 67.0, 99703.0, 43598.0, 3078.0, 7578.0, 3568.0, 8489.0, 3680.0, 5676.0
56.0, 63.0, 21188.0, 32518.0, 9714.0, 3381.0, 10779.0, 15109.0, 3612.0, 9664.0
51.0, 60.0, 540318.0, 100050.0, 42357.0, 7267.0, 15678.0, 8418.0, 3509.0, 4921.0
